"id","region","district","traditional_authority","village","createdAt","updatedAt","country"
"1","Southern Region","BALAKA","AMIDU","ABRAHAM","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"2","Southern Region","BALAKA","AMIDU","ACHALUME","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"3","Southern Region","BALAKA","AMIDU","AMANDA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"4","Southern Region","BALAKA","AMIDU","AMIDU","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"5","Southern Region","BALAKA","AMIDU","BAKALI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"6","Southern Region","BALAKA","AMIDU","BAKALI # MANGALALA SCHOOL","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"7","Southern Region","BALAKA","AMIDU","BAKILI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"8","Southern Region","BALAKA","AMIDU","BALAKA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"9","Southern Region","BALAKA","AMIDU","BANDAWE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"10","Southern Region","BALAKA","AMIDU","BENGODI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"11","Southern Region","BALAKA","AMIDU","BOKOSI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"12","Southern Region","BALAKA","AMIDU","BUBUBU","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"13","Southern Region","BALAKA","AMIDU","CHABWERA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"14","Southern Region","BALAKA","AMIDU","CHAGUNDA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"15","Southern Region","BALAKA","AMIDU","CHAGUNDA # CHINGALI SCHOOL","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"16","Southern Region","BALAKA","AMIDU","CHALUBWA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"17","Southern Region","BALAKA","AMIDU","CHAMA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"18","Southern Region","BALAKA","AMIDU","CHAMBA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"19","Southern Region","BALAKA","AMIDU","CHATAMA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"20","Southern Region","BALAKA","AMIDU","CHEMBERA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"21","Southern Region","BALAKA","AMIDU","CHIBWANA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"22","Southern Region","BALAKA","AMIDU","CHIBWANA NSAMALA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"23","Southern Region","BALAKA","AMIDU","CHIBWEYA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"24","Southern Region","BALAKA","AMIDU","CHIKUMBA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"25","Southern Region","BALAKA","AMIDU","CHILANGA # CHILANGA SCHOOL","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"26","Southern Region","BALAKA","AMIDU","CHILEKA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"27","Southern Region","BALAKA","AMIDU","CHILOBOTI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"28","Southern Region","BALAKA","AMIDU","CHILOLE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"29","Southern Region","BALAKA","AMIDU","CHIMANGA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"30","Southern Region","BALAKA","AMIDU","CHIMWALA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"31","Southern Region","BALAKA","AMIDU","CHIMWAZA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"32","Southern Region","BALAKA","AMIDU","CHINGANDE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"33","Southern Region","BALAKA","AMIDU","CHIPYALI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"34","Southern Region","BALAKA","AMIDU","CHISANGALA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"35","Southern Region","BALAKA","AMIDU","CHITALO","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"36","Southern Region","BALAKA","AMIDU","CHITALO II","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"37","Southern Region","BALAKA","AMIDU","CHITEKWERE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"38","Southern Region","BALAKA","AMIDU","CHITEWERE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"39","Southern Region","BALAKA","AMIDU","CHITHU","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"40","Southern Region","BALAKA","AMIDU","CHOMBE","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"41","Southern Region","BALAKA","AMIDU","CHOMBE II","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"42","Southern Region","BALAKA","AMIDU","CHOPI","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"43","Southern Region","BALAKA","AMIDU","CUSTOM","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"44","Southern Region","BALAKA","AMIDU","DAVIDO","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"45","Southern Region","BALAKA","AMIDU","DUWA","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"46","Southern Region","BALAKA","AMIDU","ELIOT","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
"47","Southern Region","BALAKA","AMIDU","ELLIOT","2026-01-19 21:02:57.000","2026-01-19 21:02:57.000","Malawi"
